iter,train_loss,val_loss,lr,tokens_seen,run_name
0,4.2911,4.2885,0.000010,0,exp01-mha-abspe
250,0.0144,0.0143,0.000986,1024000,exp01-mha-abspe
500,0.0121,0.0116,0.000905,2048000,exp01-mha-abspe
750,0.0118,0.0118,0.000764,3072000,exp01-mha-abspe
1000,0.0111,0.0112,0.000587,4096000,exp01-mha-abspe
1250,0.0111,0.0105,0.000404,5120000,exp01-mha-abspe
1500,0.0102,0.0103,0.000245,6144000,exp01-mha-abspe
1750,0.0101,0.0102,0.000138,7168000,exp01-mha-abspe
2000,0.0096,0.0098,0.000100,8192000,exp01-mha-abspe
0,4.2911,4.2885,0.000010,0,exp01-mha-abspe
250,0.0144,0.0143,0.000986,1024000,exp01-mha-abspe
500,0.0121,0.0116,0.000905,2048000,exp01-mha-abspe
750,0.0118,0.0118,0.000764,3072000,exp01-mha-abspe
1000,0.0111,0.0112,0.000587,4096000,exp01-mha-abspe
1250,0.0111,0.0105,0.000404,5120000,exp01-mha-abspe
1500,0.0102,0.0103,0.000245,6144000,exp01-mha-abspe
1750,0.0101,0.0102,0.000138,7168000,exp01-mha-abspe
2000,0.0096,0.0098,0.000100,8192000,exp01-mha-abspe
