iter,train_loss,val_loss,lr,tokens_seen,run_name
0,4.2314,4.2184,0.000010,0,exp02-gqa2-rope10k
250,1.7828,1.9031,0.000986,1024000,exp02-gqa2-rope10k
500,1.5482,1.7341,0.000905,2048000,exp02-gqa2-rope10k
750,1.4374,1.6321,0.000764,3072000,exp02-gqa2-rope10k
1000,1.3509,1.5855,0.000587,4096000,exp02-gqa2-rope10k
1250,1.2865,1.5251,0.000404,5120000,exp02-gqa2-rope10k
1500,1.2407,1.5045,0.000245,6144000,exp02-gqa2-rope10k
1750,1.2061,1.4821,0.000138,7168000,exp02-gqa2-rope10k
2000,1.1897,1.4909,0.000100,8192000,exp02-gqa2-rope10k
0,4.2314,4.2184,0.000010,0,exp02-gqa2-rope10k
250,1.7828,1.9031,0.000986,1024000,exp02-gqa2-rope10k
500,1.5482,1.7341,0.000905,2048000,exp02-gqa2-rope10k
750,1.4374,1.6321,0.000764,3072000,exp02-gqa2-rope10k
1000,1.3509,1.5855,0.000587,4096000,exp02-gqa2-rope10k
1250,1.2865,1.5251,0.000404,5120000,exp02-gqa2-rope10k
1500,1.2407,1.5045,0.000245,6144000,exp02-gqa2-rope10k
1750,1.2061,1.4821,0.000138,7168000,exp02-gqa2-rope10k
2000,1.1897,1.4909,0.000100,8192000,exp02-gqa2-rope10k
